"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed Jun 25 10:10:53 GMT 2025","Wed Jun 25 10:10:56 GMT 2025","3150","","Validating Customer APIs","","Verify Customer data retrieval","","Verify Customer data retrieval",""
"failed","Wed Jun 25 10:10:56 GMT 2025","Wed Jun 25 10:10:57 GMT 2025","516","","Validating Customer APIs","","Verify Customer data modification","","Verify Customer data modification",""
"failed","Wed Jun 25 10:10:57 GMT 2025","Wed Jun 25 10:10:57 GMT 2025","514","","Validating Customer APIs","","Delete Customer data","","Delete Customer data",""
