"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon May 08 10:06:17 GMT 2023","Mon May 08 10:06:22 GMT 2023","5019","","Validating Customer APIs","","Verify Customer data retrieval","","Verify Customer data retrieval",""
"passed","Mon May 08 10:06:22 GMT 2023","Mon May 08 10:06:24 GMT 2023","1625","","Validating Customer APIs","","Verify Customer data modification","","Verify Customer data modification",""
"passed","Mon May 08 10:06:24 GMT 2023","Mon May 08 10:06:24 GMT 2023","942","","Validating Customer APIs","","Delete Customer data","","Delete Customer data",""
