"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed Sep 18 10:08:24 GMT 2024","Wed Sep 18 10:08:27 GMT 2024","2569","","Validating Customer APIs","","Verify Customer data retrieval","","Verify Customer data retrieval",""
"failed","Wed Sep 18 10:08:27 GMT 2024","Wed Sep 18 10:08:28 GMT 2024","360","","Validating Customer APIs","","Delete Customer data","","Delete Customer data",""
"failed","Wed Sep 18 10:08:27 GMT 2024","Wed Sep 18 10:08:27 GMT 2024","364","","Validating Customer APIs","","Verify Customer data modification","","Verify Customer data modification",""
