"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Feb 10 10:09:53 GMT 2025","Mon Feb 10 10:09:53 GMT 2025","303","","Validating Customer APIs","","Delete Customer data","","Delete Customer data",""
"failed","Mon Feb 10 10:09:53 GMT 2025","Mon Feb 10 10:09:53 GMT 2025","306","","Validating Customer APIs","","Verify Customer data modification","","Verify Customer data modification",""
"failed","Mon Feb 10 10:09:50 GMT 2025","Mon Feb 10 10:09:53 GMT 2025","3235","","Validating Customer APIs","","Verify Customer data retrieval","","Verify Customer data retrieval",""
