"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed Jul 17 10:07:54 GMT 2024","Wed Jul 17 10:07:55 GMT 2024","511","","Validating Customer APIs","","Verify Customer data modification","","Verify Customer data modification",""
"failed","Wed Jul 17 10:07:52 GMT 2024","Wed Jul 17 10:07:54 GMT 2024","2458","","Validating Customer APIs","","Verify Customer data retrieval","","Verify Customer data retrieval",""
"failed","Wed Jul 17 10:07:55 GMT 2024","Wed Jul 17 10:07:55 GMT 2024","493","","Validating Customer APIs","","Delete Customer data","","Delete Customer data",""
