"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Mar 27 10:07:36 GMT 2023","Mon Mar 27 10:07:37 GMT 2023","1211","","Validating Customer APIs","","Delete Customer data","","Delete Customer data",""
"passed","Mon Mar 27 10:07:34 GMT 2023","Mon Mar 27 10:07:36 GMT 2023","2058","","Validating Customer APIs","","Verify Customer data modification","","Verify Customer data modification",""
"passed","Mon Mar 27 10:07:29 GMT 2023","Mon Mar 27 10:07:34 GMT 2023","4388","","Validating Customer APIs","","Verify Customer data retrieval","","Verify Customer data retrieval",""
