"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Mar 01 10:07:42 GMT 2023","Wed Mar 01 10:07:43 GMT 2023","1379","","Validating Customer APIs","","Delete Customer data","","Delete Customer data",""
"passed","Wed Mar 01 10:07:34 GMT 2023","Wed Mar 01 10:07:40 GMT 2023","5107","","Validating Customer APIs","","Verify Customer data retrieval","","Verify Customer data retrieval",""
"passed","Wed Mar 01 10:07:40 GMT 2023","Wed Mar 01 10:07:42 GMT 2023","2324","","Validating Customer APIs","","Verify Customer data modification","","Verify Customer data modification",""
