"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Nov 01 10:06:38 GMT 2023","Wed Nov 01 10:06:38 GMT 2023","113","","Validating Customer APIs","","Delete Customer data","","Delete Customer data",""
"broken","Wed Nov 01 10:06:35 GMT 2023","Wed Nov 01 10:06:38 GMT 2023","2138","","Validating Customer APIs","","Verify Customer data retrieval","","Verify Customer data retrieval",""
"broken","Wed Nov 01 10:06:38 GMT 2023","Wed Nov 01 10:06:38 GMT 2023","107","","Validating Customer APIs","","Verify Customer data modification","","Verify Customer data modification",""
