"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Nov 06 10:07:15 GMT 2023","Mon Nov 06 10:07:18 GMT 2023","2834","","Validating Customer APIs","","Verify Customer data retrieval","","Verify Customer data retrieval",""
"failed","Mon Nov 06 10:07:18 GMT 2023","Mon Nov 06 10:07:18 GMT 2023","306","","Validating Customer APIs","","Delete Customer data","","Delete Customer data",""
"failed","Mon Nov 06 10:07:18 GMT 2023","Mon Nov 06 10:07:18 GMT 2023","323","","Validating Customer APIs","","Verify Customer data modification","","Verify Customer data modification",""
