"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Sep 23 10:09:35 GMT 2024","Mon Sep 23 10:09:38 GMT 2024","2814","","Validating Customer APIs","","Verify Customer data retrieval","","Verify Customer data retrieval",""
"failed","Mon Sep 23 10:09:38 GMT 2024","Mon Sep 23 10:09:38 GMT 2024","307","","Validating Customer APIs","","Verify Customer data modification","","Verify Customer data modification",""
"failed","Mon Sep 23 10:09:38 GMT 2024","Mon Sep 23 10:09:39 GMT 2024","300","","Validating Customer APIs","","Delete Customer data","","Delete Customer data",""
