"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Mar 22 10:06:55 GMT 2023","Wed Mar 22 10:06:57 GMT 2023","2123","","Validating Customer APIs","","Verify Customer data modification","","Verify Customer data modification",""
"passed","Wed Mar 22 10:06:57 GMT 2023","Wed Mar 22 10:06:58 GMT 2023","1189","","Validating Customer APIs","","Delete Customer data","","Delete Customer data",""
"passed","Wed Mar 22 10:06:50 GMT 2023","Wed Mar 22 10:06:55 GMT 2023","5290","","Validating Customer APIs","","Verify Customer data retrieval","","Verify Customer data retrieval",""
