"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed Jul 24 10:08:29 GMT 2024","Wed Jul 24 10:08:29 GMT 2024","366","","Validating Customer APIs","","Delete Customer data","","Delete Customer data",""
"failed","Wed Jul 24 10:08:26 GMT 2024","Wed Jul 24 10:08:28 GMT 2024","2517","","Validating Customer APIs","","Verify Customer data retrieval","","Verify Customer data retrieval",""
"failed","Wed Jul 24 10:08:28 GMT 2024","Wed Jul 24 10:08:29 GMT 2024","362","","Validating Customer APIs","","Verify Customer data modification","","Verify Customer data modification",""
