"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Nov 25 10:10:08 GMT 2024","Mon Nov 25 10:10:10 GMT 2024","2452","","Validating Customer APIs","","Verify Customer data retrieval","","Verify Customer data retrieval",""
"failed","Mon Nov 25 10:10:10 GMT 2024","Mon Nov 25 10:10:11 GMT 2024","306","","Validating Customer APIs","","Delete Customer data","","Delete Customer data",""
"failed","Mon Nov 25 10:10:10 GMT 2024","Mon Nov 25 10:10:10 GMT 2024","306","","Validating Customer APIs","","Verify Customer data modification","","Verify Customer data modification",""
