"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon May 02 10:08:34 GMT 2022","Mon May 02 10:08:36 GMT 2022","2464","","Validating Customer APIs","","Verify Customer data modification","","Verify Customer data modification",""
"passed","Mon May 02 10:08:29 GMT 2022","Mon May 02 10:08:34 GMT 2022","4786","","Validating Customer APIs","","Verify Customer data retrieval","","Verify Customer data retrieval",""
"passed","Mon May 02 10:08:36 GMT 2022","Mon May 02 10:08:38 GMT 2022","1464","","Validating Customer APIs","","Delete Customer data","","Delete Customer data",""
