"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Apr 21 10:10:13 GMT 2025","Mon Apr 21 10:10:13 GMT 2025","448","","Validating Customer APIs","","Verify Customer data modification","","Verify Customer data modification",""
"failed","Mon Apr 21 10:10:13 GMT 2025","Mon Apr 21 10:10:14 GMT 2025","473","","Validating Customer APIs","","Delete Customer data","","Delete Customer data",""
"failed","Mon Apr 21 10:10:11 GMT 2025","Mon Apr 21 10:10:13 GMT 2025","2392","","Validating Customer APIs","","Verify Customer data retrieval","","Verify Customer data retrieval",""
