"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed Nov 29 10:07:06 GMT 2023","Wed Nov 29 10:07:09 GMT 2023","2317","","Validating Customer APIs","","Verify Customer data retrieval","","Verify Customer data retrieval",""
"failed","Wed Nov 29 10:07:09 GMT 2023","Wed Nov 29 10:07:10 GMT 2023","439","","Validating Customer APIs","","Delete Customer data","","Delete Customer data",""
"failed","Wed Nov 29 10:07:09 GMT 2023","Wed Nov 29 10:07:09 GMT 2023","450","","Validating Customer APIs","","Verify Customer data modification","","Verify Customer data modification",""
