"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon May 05 10:10:40 GMT 2025","Mon May 05 10:10:42 GMT 2025","2317","","Validating Customer APIs","","Verify Customer data retrieval","","Verify Customer data retrieval",""
"failed","Mon May 05 10:10:42 GMT 2025","Mon May 05 10:10:43 GMT 2025","376","","Validating Customer APIs","","Delete Customer data","","Delete Customer data",""
"failed","Mon May 05 10:10:42 GMT 2025","Mon May 05 10:10:42 GMT 2025","373","","Validating Customer APIs","","Verify Customer data modification","","Verify Customer data modification",""
