"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Mar 31 10:10:31 GMT 2025","Mon Mar 31 10:10:31 GMT 2025","315","","Validating Customer APIs","","Verify Customer data modification","","Verify Customer data modification",""
"failed","Mon Mar 31 10:10:29 GMT 2025","Mon Mar 31 10:10:31 GMT 2025","2166","","Validating Customer APIs","","Verify Customer data retrieval","","Verify Customer data retrieval",""
"failed","Mon Mar 31 10:10:31 GMT 2025","Mon Mar 31 10:10:32 GMT 2025","313","","Validating Customer APIs","","Delete Customer data","","Delete Customer data",""
