"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed May 29 10:07:58 GMT 2024","Wed May 29 10:08:01 GMT 2024","3300","","Validating Customer APIs","","Verify Customer data retrieval","","Verify Customer data retrieval",""
"failed","Wed May 29 10:08:01 GMT 2024","Wed May 29 10:08:02 GMT 2024","521","","Validating Customer APIs","","Verify Customer data modification","","Verify Customer data modification",""
"failed","Wed May 29 10:08:02 GMT 2024","Wed May 29 10:08:02 GMT 2024","515","","Validating Customer APIs","","Delete Customer data","","Delete Customer data",""
