"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed Sep 03 10:01:09 GMT 2025","Wed Sep 03 10:01:09 GMT 2025","317","","Validating Customer APIs","","Verify Customer data modification","","Verify Customer data modification",""
"failed","Wed Sep 03 10:01:06 GMT 2025","Wed Sep 03 10:01:09 GMT 2025","2636","","Validating Customer APIs","","Verify Customer data retrieval","","Verify Customer data retrieval",""
"failed","Wed Sep 03 10:01:09 GMT 2025","Wed Sep 03 10:01:09 GMT 2025","311","","Validating Customer APIs","","Delete Customer data","","Delete Customer data",""
