"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Feb 01 10:07:42 GMT 2023","Wed Feb 01 10:07:44 GMT 2023","2114","","Validating Customer APIs","","Verify Customer data modification","","Verify Customer data modification",""
"passed","Wed Feb 01 10:07:44 GMT 2023","Wed Feb 01 10:07:45 GMT 2023","1209","","Validating Customer APIs","","Delete Customer data","","Delete Customer data",""
"passed","Wed Feb 01 10:07:37 GMT 2023","Wed Feb 01 10:07:42 GMT 2023","4824","","Validating Customer APIs","","Verify Customer data retrieval","","Verify Customer data retrieval",""
