"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed Sep 04 10:08:37 GMT 2024","Wed Sep 04 10:08:38 GMT 2024","465","","Validating Customer APIs","","Delete Customer data","","Delete Customer data",""
"failed","Wed Sep 04 10:08:37 GMT 2024","Wed Sep 04 10:08:37 GMT 2024","470","","Validating Customer APIs","","Verify Customer data modification","","Verify Customer data modification",""
"failed","Wed Sep 04 10:08:34 GMT 2024","Wed Sep 04 10:08:37 GMT 2024","2395","","Validating Customer APIs","","Verify Customer data retrieval","","Verify Customer data retrieval",""
