"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Feb 20 10:08:36 GMT 2023","Mon Feb 20 10:08:37 GMT 2023","949","","Validating Customer APIs","","Delete Customer data","","Delete Customer data",""
"passed","Mon Feb 20 10:08:34 GMT 2023","Mon Feb 20 10:08:36 GMT 2023","1640","","Validating Customer APIs","","Verify Customer data modification","","Verify Customer data modification",""
"passed","Mon Feb 20 10:08:30 GMT 2023","Mon Feb 20 10:08:34 GMT 2023","4034","","Validating Customer APIs","","Verify Customer data retrieval","","Verify Customer data retrieval",""
