"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Oct 13 10:01:35 GMT 2025","Mon Oct 13 10:01:39 GMT 2025","4119","","Validating Customer APIs","","Verify Customer data retrieval","","Verify Customer data retrieval",""
"failed","Mon Oct 13 10:01:39 GMT 2025","Mon Oct 13 10:01:40 GMT 2025","339","","Validating Customer APIs","","Verify Customer data modification","","Verify Customer data modification",""
"failed","Mon Oct 13 10:01:40 GMT 2025","Mon Oct 13 10:01:40 GMT 2025","330","","Validating Customer APIs","","Delete Customer data","","Delete Customer data",""
