"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed Oct 09 10:09:06 GMT 2024","Wed Oct 09 10:09:06 GMT 2024","508","","Validating Customer APIs","","Verify Customer data modification","","Verify Customer data modification",""
"failed","Wed Oct 09 10:09:06 GMT 2024","Wed Oct 09 10:09:07 GMT 2024","515","","Validating Customer APIs","","Delete Customer data","","Delete Customer data",""
"failed","Wed Oct 09 10:09:03 GMT 2024","Wed Oct 09 10:09:06 GMT 2024","2736","","Validating Customer APIs","","Verify Customer data retrieval","","Verify Customer data retrieval",""
