"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jan 23 10:07:39 GMT 2023","Mon Jan 23 10:07:41 GMT 2023","1553","","Validating Customer APIs","","Delete Customer data","","Delete Customer data",""
"passed","Mon Jan 23 10:07:29 GMT 2023","Mon Jan 23 10:07:36 GMT 2023","7208","","Validating Customer APIs","","Verify Customer data retrieval","","Verify Customer data retrieval",""
"passed","Mon Jan 23 10:07:36 GMT 2023","Mon Jan 23 10:07:39 GMT 2023","2628","","Validating Customer APIs","","Verify Customer data modification","","Verify Customer data modification",""
