"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed Dec 25 10:08:59 GMT 2024","Wed Dec 25 10:08:59 GMT 2024","305","","Validating Customer APIs","","Delete Customer data","","Delete Customer data",""
"failed","Wed Dec 25 10:08:58 GMT 2024","Wed Dec 25 10:08:59 GMT 2024","315","","Validating Customer APIs","","Verify Customer data modification","","Verify Customer data modification",""
"failed","Wed Dec 25 10:08:56 GMT 2024","Wed Dec 25 10:08:58 GMT 2024","2281","","Validating Customer APIs","","Verify Customer data retrieval","","Verify Customer data retrieval",""
