"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jun 05 10:06:59 GMT 2023","Mon Jun 05 10:07:02 GMT 2023","2423","","Validating Customer APIs","","Verify Customer data modification","","Verify Customer data modification",""
"passed","Mon Jun 05 10:07:02 GMT 2023","Mon Jun 05 10:07:03 GMT 2023","1396","","Validating Customer APIs","","Delete Customer data","","Delete Customer data",""
"passed","Mon Jun 05 10:06:54 GMT 2023","Mon Jun 05 10:06:59 GMT 2023","4673","","Validating Customer APIs","","Verify Customer data retrieval","","Verify Customer data retrieval",""
