"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jun 12 10:06:43 GMT 2023","Mon Jun 12 10:06:48 GMT 2023","4544","","Validating Customer APIs","","Verify Customer data retrieval","","Verify Customer data retrieval",""
"passed","Mon Jun 12 10:06:48 GMT 2023","Mon Jun 12 10:06:50 GMT 2023","2155","","Validating Customer APIs","","Verify Customer data modification","","Verify Customer data modification",""
"passed","Mon Jun 12 10:06:50 GMT 2023","Mon Jun 12 10:06:52 GMT 2023","1269","","Validating Customer APIs","","Delete Customer data","","Delete Customer data",""
